state,county,key,url,source,status,kind,finalUrl
DC,District Of Columbia Separate BID,DC-DistrictOfColumbiaSeparateBID,https://www.taxpayerservicecenter.com/,Base,200,ok,https://www.taxpayerservicecenter.com/
DE,Dewey Beach Town,DE-DeweyBeachTown,https://wipp.edmundsgovtech.cloud/home?wippId=334,Search,200,ok,https://wipp.edmundsgovtech.cloud/home?wippId=334
DE,Kent,DE-Kent,https://kent400.co.kent.de.us/,Base,200,ok,https://kent400.co.kent.de.us/
DE,Middletown Town,DE-MiddletownTown,https://wipp.edmundsassoc.com/Wipp/?wippid=Middletown,Base,200,ok,https://wipp.edmundsassoc.com/Wipp/?wippid=Middletown
DE,Sussex,DE-Sussex,http://www.sussexcountyde.gov/e-service/propertytaxes/,Base,301,ok,https://sussexcountyde.gov/zoning-and-sales-information
FL,Bradford,FL-Bradford,http://qpublic.net/cgi-bin/,Base,403,gated,https://qpublic.net/cgi-bin/
FL,Brevard,FL-Brevard,https://county-taxes.net/brevard/property-tax,Search,403,gated,https://county-taxes.net/brevard/property-tax
FL,Broward,FL-Broward,https://county-taxes.net/broward/broward/property-tax,Search,403,gated,https://county-taxes.net/broward/broward/property-tax
FL,Charlotte,FL-Charlotte,https://county-taxes.net/charlotte/property-tax,Base,403,gated,https://county-taxes.net/charlotte/property-tax
FL,Citrus,FL-Citrus,https://county-taxes.net/citrus/property-tax,Base,403,gated,https://county-taxes.net/citrus/property-tax
FL,Collier,FL-Collier,https://county-taxes.net/fl-collier/property-tax,Search,403,gated,https://county-taxes.net/fl-collier/property-tax
FL,De Soto,FL-DeSoto,https://www.desotocountytaxcollector.com/,Base,200,ok,https://www.desotocountytaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True
FL,Duval,FL-Duval,http://www.coj.net/departments/tax-collector.aspx,Search,200,ok,https://taxcollector.jacksonville.gov/
FL,Flagler,FL-Flagler,http://www.flaglertax.com/,Search,200,ok,https://www.flaglertax.gov/
FL,Highlands,FL-Highlands,https://county-taxes.net/highlands/property-tax,Base,403,gated,https://county-taxes.net/highlands/property-tax
FL,Hillsborough,FL-Hillsborough,http://www.hillstax.org/,Search,200,ok,https://www.hillstaxfl.gov/
FL,Lafayette,FL-Lafayette,http://www.lafayettetc.com/TAX/,Base,200,ok,https://www.lafayettetc.com/TAX/
FL,Lake,FL-Lake,http://www.laketax.com/,Search,200,ok,https://laketax.com/
FL,Lee,FL-Lee,https://leetc.com/,Search,200,ok,https://leetc.com/
FL,Leon,FL-Leon,https://wwwtax2.leoncountyfl.gov/itm/PropertySearchAccount.aspx,Search,200,ok,https://wwwtax2.leoncountyfl.gov/itm/DisclaimerPage.aspx?mode=prop
FL,Manatee,FL-Manatee,https://secure.taxcollector.com/ptaxweb/editPropertySearch2.action?action=list,Search,200,ok,https://secure.taxcollector.com/ptaxweb/editPropertySearch2.action?action=list
FL,Marion,FL-Marion,https://www.mariontax.com/itm/PropertySearchAccount.aspx,Search,302,ok,https://www.mariontax.com/itm/PropertySearchAccount.aspx?AspxAutoDetectCookieSupport=1
FL,Miami Dade,FL-MiamiDade,https://www.miamidade.gov/taxcollector/,Base,200,ok,https://www.miamidade.gov/taxcollector/
FL,Monroe,FL-Monroe,https://county-taxes.net/monroe/property-tax,Base,403,gated,https://county-taxes.net/monroe/property-tax
FL,Okaloosa,FL-Okaloosa,http://www.okaloosatax.com/,Search,403,gated,https://www.okaloosatax.com/
FL,Orange,FL-Orange,https://www.octaxcol.com/taxes/,Search,403,gated,https://www.octaxcol.com/taxes/
FL,Palm Beach,FL-PalmBeach,https://www.pbctax.com/,Search,200,ok,https://www.pbctax.gov/
FL,Pasco,FL-Pasco,http://www.pascotaxes.com/,Search,200,ok,https://www.pascotaxes.com/
FL,Pinellas,FL-Pinellas,http://www.taxcollect.com/,Search,403,gated,http://www.taxcollect.com/
FL,Polk,FL-Polk,https://polk.floridatax.us/AccountSearch?s=pt,Search,200,ok,https://polk.floridatax.us/AccountSearch?s=pt
FL,Santa Rosa,FL-SantaRosa,http://www.srctc.com/,Search,200,ok,https://srctc.com/
FL,Sarasota,FL-Sarasota,https://www.sarasotataxcollector.com/,Search,200,ok,https://www.sarasotataxcollector.gov/
FL,Seminole,FL-Seminole,https://seminolecounty.tax/services/property-taxes/property-and-tangible-taxes/,Search,200,ok,https://seminolecounty.tax/services/property-taxes/property-and-tangible-taxes/
FL,St Lucie,FL-StLucie,https://county-taxes.net/stlucie/property-tax,Base,403,gated,https://county-taxes.net/stlucie/property-tax
FL,Volusia,FL-Volusia,https://www.volusia.org/,Search,200,ok,https://www.volusia.org/
FL,Wakulla,FL-Wakulla,http://www.wakullacountytaxcollector.com/,Base,200,ok,https://www.wakullacountytaxcollector.com/Property/SearchSelect?Accept=true&ClearData=True
GA,Alpharetta City,GA-AlpharettaCity,https://mss.alpharetta.ga.us/MSS/citizens/RealEstate/,Base,200,ok,https://mss.alpharetta.ga.us/mss/common/Upgrade.aspx
GA,Americus,GA-Americus,https://americusga.governmentwindow.com/tax.html,Search,403,gated,https://americusga.governmentwindow.com/tax.html
GA,Banks,GA-Banks,https://www.qpublic.net/ga/banks/,Base,403,gated,https://www.qpublic.net/ga/banks/
GA,Bartow,GA-Bartow,https://www.qpublic.net/ga/bartow/,Base,403,gated,https://www.qpublic.net/ga/bartow/
GA,Brooks,GA-Brooks,https://d1ebsyxxbc7tep.cloudfront.net/,Base,200,ok,https://d1ebsyxxbc7tep.cloudfront.net/
GA,Bryan,GA-Bryan,https://www.qpublic.net/ga/bryan/,Base,403,gated,https://www.qpublic.net/ga/bryan/
GA,Bulloch,GA-Bulloch,https://www.qpublic.net/ga/bulloch/,Base,403,gated,https://www.qpublic.net/ga/bulloch/
GA,Burke,GA-Burke,https://burkeproperty.assurancegov.com/Property/Search,Search,200,ok,https://burkeproperty.assurancegov.com/Property/Search
GA,Byron City,GA-ByronCity,https://byronga.csibillpay.com/Tax/,Base,200,ok,https://byronga.csibillpay.com/Tax/
GA,Camden,GA-Camden,https://www.qpublic.net/ga/camden/,Base,403,gated,https://www.qpublic.net/ga/camden/
GA,Catoosa,GA-Catoosa,http://catoosataxes.com/,Base,200,ok,https://www.catoosataxes.com/
GA,Centerville City,GA-CentervilleCity,https://centervillega.mygovhub.com/#/quickpay,Search,200,ok,https://centervillega.mygovhub.com/#/quickpay
GA,Chatham,GA-Chatham,http://chathamtax.org/,Base,302,ok,https://www.chathamtax.org/PT/default.aspx
GA,Cherokee,GA-Cherokee,http://www.cherokeega.com/applications/taxbills/,Base,403,gated,https://www.cherokeega.com/applications/taxbills/
GA,Cobb,GA-Cobb,https://cobbtaxpayments.org/,Search,200,ok,https://cobbtaxpayments.org/
GA,Colquitt,GA-Colquitt,https://www.qpublic.net/ga/colquitt/,Base,403,gated,https://www.qpublic.net/ga/colquitt/
GA,Crawford,GA-Crawford,https://crawfordproperty.assurancegov.com/Property/Search,Search,200,ok,https://crawfordproperty.assurancegov.com/Property/Search
GA,Crisp,GA-Crisp,https://www.qpublic.net/ga/crisp/,Base,403,gated,https://www.qpublic.net/ga/crisp/
GA,Dade,GA-Dade,https://dadeproperty.assurancegov.com/Property/Search,Search,200,ok,https://dadeproperty.assurancegov.com/Property/Search
GA,Dawson,GA-Dawson,https://www.qpublic.net/ga/dawson/,Base,403,gated,https://www.qpublic.net/ga/dawson/
GA,Decatur City,GA-DecaturCity,https://www.decaturgatax.com/taxes#/WildfireSearch,Search,200,ok,https://www.decaturgatax.com/taxes#/WildfireSearch
