state,county,key,primary_search_url,source,active,confidence_base,quality,version
TX,Pecos,TX-Pecos,http://www.pecostax.org/,Base,true,0.78,ok,1
TX,Rains CAD,TX-RainsCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Real CAD,TX-RealCAD,https://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Red River CAD,TX-RedRiverCAD,http://www.cagi.com:8080/,Base,true,0.78,ok,1
TX,Reeves,TX-Reeves,https://www.reevescountytax.org/search,Search,true,0.92,ok,1
TX,Richardson ISD,TX-RichardsonISD,https://www.texaspayments.com/057916,Search,true,0.92,ok,1
TX,Robertson,TX-Robertson,https://tax.cagi.com/account-search/C198,Search,true,0.92,ok,1
TX,Rockwall CAD,TX-RockwallCAD,http://esearch.rockwallcad.com/,Base,true,0.78,ok,1
TX,Runnels,TX-Runnels,https://iswdataclient.azurewebsites.net/,Base,true,0.78,ok,1
TX,Rusk,TX-Rusk,http://www.ruskcountytax.com/taxSearch/,Base,false,0.78,ok,1
TX,Sabine,TX-Sabine,https://azurefrontdoor-gwbqhvc2fyhaghgf.z01.azurefd.net/webSearchGeoID.aspx?dbkey=SABINETAX,Search,false,0.92,ok,1
TX,San Augustine,TX-SanAugustine,http://www.sanaugustinetax.org/,Base,true,0.78,ok,1
TX,San Jacinto,TX-SanJacinto,http://sjc-tax.com/Appraisal/PublicAccess/,Base,false,0.78,ok,1
TX,San Jacinto Tax Service,TX-SanJacintoTaxService,http://www.sjtaxservice.com/,Base,true,0.78,ok,1
TX,San Patricio,TX-SanPatricio,http://12.105.136.220/Appraisal/PublicAccess/,Base,true,0.78,ok,1
TX,Santa Fe ISD,TX-SantaFeISD,https://www.texaspayments.com/084909,Search,true,0.92,ok,1
TX,Schleicher CAD,TX-SchleicherCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Scurry CAD,TX-ScurryCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Shelby,TX-Shelby,https://tax.shelbytaxpayment.com/,Search,true,0.92,ok,1
TX,Sheldon ISD,TX-SheldonISD,http://statements.sheldonisd.com/,Base,true,0.78,ok,1
TX,Smith,TX-Smith,https://publictax.smith-county.com/search,Base,true,0.78,ok,1
TX,Somervell CAD,TX-SomervellCAD,https://somervellcad.southwestdatasolutions.com/PropertySearch,Search,true,0.92,ok,1
TX,Spring Branch ISD,TX-SpringBranchISD,https://sbisd.propertytaxpayments.net/search,Search,true,0.92,ok,1
TX,Spring ISD,TX-SpringISD,http://statements.springisd.org/,Base,true,0.78,ok,1
TX,Starr,TX-Starr,https://starr.go2gov.net/faces/_rlvid.jsp?_rap=!searchID&_rvip=/search.jsp,Base,true,0.78,ok,1
TX,Stephens,TX-Stephens,http://iswdataclient.azurewebsites.net/,Base,true,0.78,ok,1
TX,Sulphur Springs ISD,TX-SulphurSpringsISD,https://actweb.acttax.com/ssisd/ssisd/index.jsp,Search,true,0.92,ok,1
TX,Sutton CAD,TX-SuttonCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Swisher CAD,TX-SwisherCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Tarrant,TX-Tarrant,https://www.tax.tarrantcountytx.gov/Search/,Search,true,0.92,ok,1
TX,Tax Tech,TX-TaxTech,http://www.taxtech.net/,Base,true,0.78,ok,1
TX,Taylor CAD,TX-TaylorCAD,http://propaccess.taylor-cad.org/clientdb/,Base,true,0.78,ok,1
TX,Terrell CAD,TX-TerrellCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Terry,TX-Terry,http://www.tax.cagi.com/account-search/,Base,true,0.78,ok,1
TX,Texas City ISD,TX-TexasCityISD,https://actweb.acttax.com/act_webdev/texascity/,Base,true,0.78,ok,1
TX,Titus,TX-Titus,https://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Titus CAD,TX-TitusCAD,http://propaccess.titus-cad.org/clientdb/,Base,true,0.78,ok,1
TX,Tomball ISD,TX-TomballISD,https://tomballisd.propertytaxpayments.net/search,Search,true,0.92,ok,1
TX,Travis,TX-Travis,https://tax-office.traviscountytx.gov,Search,true,0.92,ok,1
TX,Trinity CAD,TX-TrinityCAD,https://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Tyler,TX-Tyler,https://www.tylercountytax.org/,Base,true,0.78,ok,1
TX,Upshur,TX-Upshur,https://actweb.acttax.com/act_webdev/,Base,false,0.78,ok,1
TX,Utility Tax,TX-UtilityTax,http://www.utilitytaxservice.com/,Base,true,0.78,ok,1
TX,Uvalde CAD,TX-UvaldeCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Valwood Improvement Authority,TX-ValwoodImprovementAuthority,http://www.valwood.com/,Base,true,0.78,ok,1
TX,Van Zandt CAD,TX-VanZandtCAD,https://vanzandt.propertytaxpayments.net/search,Search,true,0.92,ok,1
TX,Victoria,TX-Victoria,http://orion.vctx.org/appraisal/publicaccess/,Base,false,0.78,ok,1
TX,Walker CAD,TX-WalkerCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Waller,TX-Waller,http://tax.co.waller.tx.us/,Base,true,0.78,ok,1
TX,Waller ISD,TX-WallerISD,http://mytax.eztaxonline.net/waller/tax/faces/,Base,false,0.78,ok,1
TX,Ward,TX-Ward,http://wardcountytax.org/,Base,true,0.78,ok,1
TX,Webb,TX-Webb,http://www.webbcountytax.com/faces/,Base,false,0.78,ok,1
TX,Wharton,TX-Wharton,http://www.whartoncountytaxoffice.com/,Base,true,0.78,ok,1
TX,Wheeler,TX-Wheeler,http://www.wheelerassoc.com/,Base,true,0.78,ok,1
TX,Wheeler Associates,TX-WheelerAssociates,https://www.wheelerassoc.com/SearchAccount,Search,true,0.92,ok,1
TX,Wichita,TX-Wichita,https://wichita.propertytaxpayments.net/search,Base,true,0.78,ok,1
TX,Wilbarger,TX-Wilbarger,http://www.wilbargertax.org/,Base,true,0.78,ok,1
TX,Williamson,TX-Williamson,http://www.williamson-county.org/,Search,true,0.92,ok,1
TX,Wilson,TX-Wilson,https://esearch.tax.wilsoncountytx.gov/,Search,true,0.92,ok,1
TX,Wilson CAD,TX-WilsonCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Wise,TX-Wise,http://www.wisecountyonline.net/tax/,Base,false,0.78,ok,1
TX,Wise CAD,TX-WiseCAD,http://www.isouthwestdata.com/client/,Base,true,0.78,ok,1
TX,Wood,TX-Wood,http://www.woodcountytax.com/taxSearch/,Base,false,0.78,ok,1
TX,Woodlands Mud,TX-WoodlandsMud,https://texaspayments.com/Home/,Base,true,0.78,ok,1
TX,Yoakum CAD,TX-YoakumCAD,http://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
TX,Zapata CAD,TX-ZapataCAD,https://propaccess.trueautomation.com/clientdb/,Base,true,0.78,ok,1
UT,Carbon,UT-Carbon,https://secureinstantpayments.com/sip/reports/,Base,true,0.78,ok,1
UT,Davis,UT-Davis,http://www.co.davis.ut.us/treasurer/,Base,true,0.78,ok,1
UT,Juab,UT-Juab,http://63.78.118.148/recorder/taxweb/,Base,true,0.78,ok,1
UT,Salt Lake,UT-SaltLake,http://www.treasurer.slco.org/taxdue/,Base,false,0.78,ok,1
UT,Summit,UT-Summit,https://property.summitcounty.org/treasurer/treasurerweb/,Base,false,0.78,ok,1
UT,Utah,UT-Utah,http://www.co.utah.ut.us/LandRecords/,Base,false,0.78,ok,1
UT,Washington,UT-Washington,https://www.washco.utah.gov/forms/treasurer/account-information/,Base,false,0.78,ok,1
VA,Accomack,VA-Accomack,http://www.accomacktax.com/taxes/,Base,true,0.78,ok,1
VA,Albemarle,VA-Albemarle,https://www.albemarlecountytaxes.org/taxes/,Base,true,0.78,ok,1
VA,Alexandria City,VA-AlexandriaCity,https://realestate.alexandriava.gov/,Base,true,0.78,ok,1
VA,Alexandria City Refuse,VA-AlexandriaCityRefuse,https://realestate.alexandriava.gov/,Base,true,0.78,ok,1
VA,Appomattox,VA-Appomattox,https://appomattox-gov-revmgt.secure.openrda.net/portal/search/hb/,Base,true,0.78,ok,1
VA,Ashland Town,VA-AshlandTown,https://townofashlandva.tylerportico.com/css/citizen-selfservice/real-estate,Search,true,0.92,ok,1
VA,Augusta,VA-Augusta,https://tax.co.augusta.va.us/Applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Bath,VA-Bath,https://eservices.bristolva.org/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Botetourt,VA-Botetourt,http://botetourtbillpay.com/,Base,true,0.78,ok,1
VA,Bristol City,VA-BristolCity,https://eservices.bristolva.org/applications/REPublicInquiry/webform1.aspx,Search,true,0.92,ok,1
VA,Campbell,VA-Campbell,https://bai.co.campbell.va.us/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Caroline,VA-Caroline,https://e-services.co.caroline.va.us/Applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Carroll,VA-Carroll,https://epayments.carrollcountyva.org/Applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Charlotte,VA-Charlotte,http://www.charlottevatax.com/taxes/,Base,false,0.78,ok,1
VA,Chesapeake,VA-Chesapeake,https://cityapps.cityofchesapeake.net/subscriptions/realestate/,Search,true,0.92,ok,1
VA,Chesterfield,VA-Chesterfield,http://www.chesterfield.gov/eServices/RealEstateAssessments/LegacyService/,Base,false,0.78,ok,1
VA,City Of Hopewell,VA-CityOfHopewell,https://cityofhopewellva.tylerportico.com/css/citizen-selfservice/real-estate/pay-bill,Search,true,0.92,ok,1
VA,Colonial Beach Town,VA-ColonialBeachTown,https://wipp.edmundsgovtech.cloud/home?wippId=CBTN,Search,true,0.92,ok,1
VA,Culpeper,VA-Culpeper,https://www.culpepercounty.gov/applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Dickenson,VA-Dickenson,http://cwood.us.to/applications/trapps/,Base,false,0.78,ok,1
VA,Dinwiddie,VA-Dinwiddie,https://online.dinwiddieva.us/applications/REpublicInquiry/,Base,true,0.78,ok,1
VA,Essex,VA-Essex,http://county.essex-va.org/Applications/REPublicInquiry/,Base,true,0.78,ok,1
VA,Fairfax,VA-Fairfax,http://icareffx.fairfaxcounty.gov/datalets/,Base,true,0.78,ok,1
VA,Fairfax City,VA-FairfaxCity,https://eservices.fairfaxva.gov/taxes/,Base,true,0.78,ok,1
VA,Fauquier,VA-Fauquier,https://tax.fauquiercounty.gov/PortalAccount/SearchForParcel?NextAction=VIEW,Search,true,0.92,ok,1
VA,Frederick,VA-Frederick,https://taxes.co.frederick.va.us/applications/TR_payTaxes/,Base,true,0.78,ok,1
VA,Front Royal Town,VA-FrontRoyalTown,https://taxpay.frontroyalva.com/applications/REpublicInquiry/,Base,true,0.78,ok,1
VA,Gloucester,VA-Gloucester,https://gloucestercountyva.munisselfservice.com/citizens/RealEstate/Default.aspx?mode=new,Search,true,0.92,ok,1
VA,Hampton City,VA-HamptonCity,https://hamptonrealinfo.hampton.gov/HamptonTaxInfo/TaxInfo,Search,true,0.92,ok,1
VA,Hampton City City,VA-HamptonCityCity,https://hamptonrealinfo.hampton.gov/HamptonTaxInfo/TaxInfo,Search,true,0.92,ok,1
VA,Hampton City Sewer,VA-HamptonCitySewer,https://hamptonrealinfo.hampton.gov/HamptonTaxInfo/TaxInfo,Search,true,0.92,ok,1
VA,Hampton City Storm,VA-HamptonCityStorm,https://hamptonrealinfo.hampton.gov/HamptonTaxInfo/TaxInfo,Search,true,0.92,ok,1
VA,Hanover,VA-Hanover,https://taxes.hanovercounty.gov/,Search,true,0.92,ok,1
VA,Henrico,VA-Henrico,https://businesstax.henrico.gov/taxes.html#/WildfireSearch,Search,true,0.92,ok,1
VA,Hopewell City,VA-HopewellCity,https://cityofhopewellva.tylerportico.com/css/citizen-selfservice/real-estate,Search,true,0.92,ok,1
